"Season","Name","Team","WAR","playerid"
"2017","Raisel Iglesias","CIN","0.1","17130"
"1958","Chuck Lindstrom","CHW","0.1","1007629"
"1919","Lefty Weinert","PHI","0.1","1013739"
"1902","Mike Hopkins","PIT","0.1","1006017"
"1912","Ed Irvin","DET","0.2","1006274"
"1970","Hal Haydel","MIN","0.2","1005520"
"1912","Roxey Roach","WAS","0.1","1011015"
"1988","David West","NYM","0.2","1013799"
"2002","Brad Lidge","HOU","0.1","563"
"1899","Welcome Gaston","BRO","0.1","1004568"
"1911","Deacon Phillippe","PIT","0.1","1010287"
"2017","Erik Kratz","NYY","0.1","4403"
"1953","Jim Brideweser","NYY","0.3","1001418"
"1983","Jeff Stone","PHI","0.2","1012567"
"1956","Bob Roselli","MIL","0.1","1011205"
"1953","Dave Cole","MIL","0.1","1002413"
"2015","Jett Bandy","LAA","0.1","12508"
"1974","John Hale","LAD","0.1","1005223"
"2007","Jose Morales","MIN","0.2","3726"
"1972","Dave Leonhard","BAL","0.1","1007540"
"2008","Mark Worrell","STL","0.1","8045"
"2005","Jason Johnson","DET","0.1","147"
"2005","Zack Greinke","KCR","0.1","1943"
"1998","Gregg Olson","ARI","0.1","1009791"
"1964","Fritz Ackley","CHW","0.1","1000032"
"1978","Mickey Klutts","NYY","0.1","1007022"
"1994","Jeff Tabaka","SDP","0.1","1012802"
"1897","Charlie Hickman","BSN","0.1","1005773"
"1907","Doc Tonkin","WAS","0.1","1013117"
"1898","Jim Donnelly","STL","0.0","1003385"
"1898","Dave Zearfoss","NYG","0.0","1014426"
"1909","John Kull","PHA","0.1","1007208"
"1918","Doc Bass","BSN","0.1","1000642"
"1918","Jesse Haines","CIN","0.1","1005209"
"1918","Otis Lambeth","CLE","0.1","1007275"
"1918","Ty Pickup","PHI","0.0","1010319"
"1918","Norman Plitt","BRO","0.1","1010396"
"1910","Joe Burns","CIN","0.1","1001713"
"2000","Jeff Manto","COL","0.4","1008083"
"1908","Walter Clarkson","CLE","0.1","1002314"
"1915","Bill Meehan","PHA","0.1","1008721"
"1897","Tom Lipp","PHI","0.0","1007646"
"1911","Billy Burke","BSN","0.1","1001675"
"1911","Joe Crisp","SLB","0.0","1002774"
"1911","Dick Rudolph","NYG","0.1","1011284"
"1912","Chuck Tompkins","CIN","0.1","1013113"
"1912","George Yantz","CHC","0.0","1014321"
"1916","Al Nixon","BRO","0.1","1009606"
"1914","Milo Allison","CHC","0.1","1000170"
"1914","Bob Ingersoll","CIN","0.1","1006259"
"1914","Biff Schlitzer","BUF","0.1","1011568"
"1905","Jim McGinley","STL","0.1","1008526"
"1902","C.B. Burns","BAL","0.0","1001703"
"1913","Billy Meyer","CHW","0.1","1008820"
"1963","Ed Hobaugh","WAS","0.2","1005867"
"1943","Steve Gromek","CLE","0.1","1005080"
"1904","Bucky Veil","PIT","0.1","1013395"
"1945","Bill Rodgers","PIT","0.0","1011097"
"1901","Harry Gleason","BOS","0.1","1004767"
"1909","King Cole","CHC","0.2","1002416"
"1942","Tom Carey","BOS","0.1","1001949"
"1942","Ray Hayworth","SLB","0.1","1005537"
"1942","Bill Peterman","PHI","0.1","1010221"
"1942","Mike Sandlock","BSN","0.1","1011426"
"1920","Dud Lee","SLB","0.1","1007454"
"1908","Bill Mack","CHC","0.2","1007913"
"1944","Steve Biras","CLE","0.1","1000974"
"1944","Claude Crocker","BRO","0.1","1002781"
"1944","Charlie Ripple","PHI","0.1","1010982"
"1946","Russ Meers","CHC","0.1","1008727"
"1946","Mike Ryba","BOS","0.1","1011351"
"1900","Ed Poole","PIT","0.2","1010433"
"1923","George Abrams","CIN","0.1","1000026"
"1923","Dee Cousineau","BSN","0.1","1002680"
"1923","Lum Davenport","CHW","0.1","1003019"
"1923","Jackie Gallagher","CLE","0.0","1004452"
"1926","Jess Doyle","DET","0.1","1003462"
"1926","Pete Rambo","PHI","0.1","1010666"
"1926","Johnny Welch","CHC","0.1","1013756"
"1949","Milo Candini","WAS","0.1","1001910"
"1949","Mickey Witek","NYY","0.0","1014163"
"1924","Bill Harris","CIN","0.1","1005396"
"1948","Ramon Garcia","WAS","0.1","1004509"
"1948","Rufe Gentry","DET","0.1","1004616"
"1948","Lou Grasmick","PHI","0.1","1004955"
"1927","Lena Blackburne","CHW","0.0","1001020"
"1927","John Churry","CHC","0.1","1002229"
"1927","Buzz Wetzel","PHA","0.1","1013816"
"1874","Charlie Snow","BKA","-0.1","1012238"
"1922","Johnny Berger","PHA","0.1","1000872"
"1936","Ken Chase","WAS","0.1","1002164"
"1947","Bob Carpenter","CHC","0.1","1001976"
"1947","Dizzy Dean","SLB","0.1","1003106"
"1947","Lou Knerr","WAS","0.1","1007033"
"1947","Rube Melton","BRO","0.1","1008757"
"1947","Willie Ramsdell","BRO","0.1","1010683"
"1947","Bud Swartz","SLB","0.1","1012764"
"1947","Ernie White","BSN","0.1","1013871"
"1925","Heinie Odom","NYY","0.1","1009728"
"1925","George Stueland","CHC","0.1","1012646"
"1942","Hugh East","NYG","0.2","1003645"
"1921","Dutch Henry","SLB","0.1","1005669"
"1921","Lefty Weinert","PHI","0.1","1013739"
"1938","Art Doll","BSN","0.0","1003367"
"1938","Tom Lanning","PHI","0.1","1007330"
"1938","Bobby Mattick","CHC","0.1","1008260"
"1933","Al Wright","BSN","0.1","1014269"
"1928","Hap Collard","CLE","0.1","1002443"
"1928","Leo Mangum","NYG","0.1","1008057"
"1928","Ray Schalk","CHW","0.1","1011517"
"1939","Johnny Gerlach","CHW","0.1","1004635"
"1934","Charley O'Leary","SLB","0.0","1009765"
"1937","Abe White","STL","0.1","1013851"
"1935","Dolf Luque","NYG","0.1","1007843"
"1935","Joe Malay","NYG","0.0","1008014"
"1935","Ralph Onis","BRO","0.1","1009822"
"1935","Hy Vandenberg","BOS","0.1","1013349"
"1929","Nick Altrock","WAS","0.0","1000191"
"1929","Jim Holloway","PHI","0.1","1005965"
"1929","Clay Touchstone","BSN","0.1","1013141"
"1929","Johnny Werts","BSN","0.1","1013792"
"1951","Earl Mossor","BRO","0.1","1009253"
"1950","Harry Gumbert","PIT","0.1","1005141"
"1950","Gus Keriazakos","CHW","0.1","1006861"
"1976","Mike Dupree","SDP","0.1","1003581"
"1940","Max Macon","BRO","0.0","1007932"
"1932","Joe Bowman","PHA","0.1","1001269"
"1932","Johnny Murphy","NYY","0.1","1009368"
"1974","Larry Herndon","STL","0.1","1005717"
"1974","Mike McQueen","CIN","0.1","1008680"
"1974","John Morris","SFG","0.1","1009219"
"1974","Rick Reichardt","KCR","0.1","1010791"
"1975","Dave Sells","LAD","0.1","1011736"
"1975","Pablo Torrealba","ATL","0.1","1013135"
"1953","Erv Palica","BRO","0.1","1009967"
"2015","Daniel Norris","- - -","0.2","13475"
"1981","Larry Bradford","ATL","0.1","1001300"
"1981","Mike Rowland","SFG","0.1","1011261"
"1981","Ray Searage","NYM","0.1","1011703"
"1981","Elias Sosa","MON","0.1","1012284"
"1914","Hooks Wiltse","NYG","0.2","1014116"
"1973","Catfish Hunter","OAK","0.1","1006199"
"1973","Don McMahon","SFG","0.1","1008629"
"1973","Eddie Fisher","STL","0.1","1004085"
"1969","Ron Willis","STL","0.1","1014036"
"1972","Steve Lawson","TEX","0.1","1007407"
"1972","Ray Newman","MIL","0.1","1009544"
"1972","Phil Regan","CHW","0.1","1010785"
"1955","Bill Miller","BAL","0.1","1008873"
"1955","Steve Souchock","DET","0.1","1012290"
"1971","Sparky Lyle","BOS","0.2","1007859"
"1971","Dick Selma","PHI","0.1","1011737"
"1992","Doug Davis","TEX","0.1","1003047"
"1992","Frank DiPino","STL","0.1","1003320"
"1992","Kip Gross","LAD","0.2","1005089"
"1992","Rodney McCray","NYM","0.1","1008427"
"1989","Miguel Garcia","PIT","0.1","1004506"
"1989","Mike Griffin","CIN","0.1","1005048"
"1989","Andy McGaffigan","MON","0.1","1008497"
"1989","Alejandro Pena","LAD","0.1","1010140"
"1989","Sergio Valdez","ATL","0.1","1013320"
"1980","Don McCormack","PHI","0.1","1008412"
"1990","Dave Liddell","NYM","0.1","1007598"
"1990","Paul Noce","CIN","0.1","1009613"
"1991","Jeff Banister","PIT","0.1","1000508"
"1991","Bob McClure","STL","0.1","1008400"
"1991","Eric Wedge","BOS","0.0","1013723"
"1970","Mike Jackson","PHI","0.1","1006306"
"1970","Roe Skidmore","CHC","0.0","1012034"
"1913","Happy Finneran","PHI","0.2","1004057"
"1984","Dave Von Ohlen","STL","0.1","1013454"
"1956","Mack Burk","PHI","0.1","1001694"
"1979","Juan Bernhardt","SEA","0.1","1000892"
"1979","Doug Capilla","CIN","0.1","1001926"
"1979","Tom Dixon","HOU","0.1","1003335"
"1979","Roy Lee Jackson","NYM","0.1","1006311"
"1979","Rick Rhoden","PIT","0.1","1010887"
"1983","Sid Fernandez","LAD","0.1","1004001"
"1962","Jim Archer","KCA","0.1","1000291"
"1962","Rupe Toppin","KCA","0.1","1013122"
"1960","Ted Abernathy","WAS","0.1","1000020"
"1960","Al Schroll","CHC","0.1","1011617"
"1993","Larry Andersen","PHI","0.1","1000236"
"1993","Rob Dibble","CIN","0.1","1003269"
"1993","Matt Maysey","MIL","0.1","1008314"
"1993","Dave Righetti","SFG","0.1","1010958"
"1993","Gary Wayne","COL","0.1","1013690"
"1993","Mitch Williams","PHI","0.1","1014025"
"1982","Randy Niemann","PIT","0.1","1009589"
"1982","Steve Shirley","LAD","0.1","1011913"
"1961","Joe Grzenda","DET","0.1","1005112"
"1961","Steve Hamilton","CLE","0.1","1005277"
"1961","Dick Hyde","BAL","0.1","1006248"
"1961","Jim Umbricht","PIT","0.1","1013277"
"1995","Eric Owens","CIN","0.1","534"
"1995","Paul Byrd","NYM","0.1","594"
"1995","Andy Carter","PHI","0.1","1002012"
"1995","Doug Henry","NYM","0.1","1005668"
"1995","John Hudek","HOU","0.1","1006128"
"1995","Manuel Lee","STL","-0.1","1007460"
"1995","Rob Murphy","LAD","0.1","1009374"
"1995","Brad Woodall","ATL","0.1","1014206"
"1977","Mike Marshall","ATL","0.1","1008144"
"1959","Barney Schultz","DET","0.1","1011625"
"1957","Russ Meyer","BOS","0.1","1008833"
"1986","Tim Lollar","BOS","0.1","1007715"
"1999","Julio Santana","TBD","0.1","496"
"1999","Josias Manzanillo","NYM","0.1","996"
"1999","Rich Rodriguez","SFG","0.1","1276"
"1999","Danny Klassen","ARI","0.0","1455"
"1999","Jeff Kubenka","LAD","0.1","1007189"
"1999","Steve Montgomery","PHI","0.1","1009074"
"1985","Rick Grapenthin","MON","0.1","1004954"
"1985","Gus Polidor","CAL","0.2","1010420"
"1985","Luis Pujols","TEX","0.1","1010564"
"1958","Al Schroll","BOS","0.1","1011617"
"1996","Roger Clemens","BOS","0.1","815"
"1996","Livan Hernandez","FLA","0.1","1116"
"1996","Pedro Borbon","ATL","0.1","1289"
"1996","Ron Blazier","PHI","0.1","1001067"
"1996","Ryan Hancock","CAL","0.1","1005296"
"1997","Jason Varitek","BOS","0.0","217"
"1997","Cory Bailey","SFG","0.1","588"
"1997","Dave Veres","MON","0.1","1188"
"1997","Carlos Castillo","CHW","0.1","1002060"
"1997","Terry Clark","TEX","0.1","1002312"
"1997","Richie Lewis","CIN","0.1","1007587"
"2000","Scott Linebrink","HOU","0.1","564"
"2000","T.J. Tucker","MON","0.1","800"
"2000","Mike Stanton","NYY","0.1","849"
"2000","Vicente Padilla","ARI","0.1","964"
"2000","Xavier Nady","SDP","0.0","1658"
"2000","Justin Brunette","STL","0.1","1001592"
"2000","Rich Croushore","COL","0.1","1002819"
"2000","Mike Judd","LAD","0.1","1006639"
"2000","Mike Mohler","STL","0.1","1009033"
"2000","Omar Olivares","OAK","0.1","1009771"
"2000","Hector Ramirez","MIL","0.1","1010669"
"2000","Anthony Sanders","SEA","0.0","1011412"
"1915","Herb Kelly","PIT","0.1","1006800"
"1994","Mark Wohlers","ATL","0.1","414"
"1994","Darren Dreifort","LAD","0.1","647"
"1994","Mark Dewey","PIT","0.1","1003257"
"1994","Doug Jones","PHI","0.1","1006552"
"1994","Jesse Levis","CLE","0.0","1007569"
"1998","Mike Magnante","HOU","0.1","929"
"1998","Dan Miceli","SDP","0.1","1463"
"1998","Lance Painter","STL","0.1","1675"
"1998","Mark Hutton","CIN","0.1","1006245"
"1998","Doug Johns","BAL","0.1","1006449"
"1998","Tony Saunders","TBD","0.1","1011463"
"1965","Dave Eilers","NYM","0.1","1003715"
"1965","Nate Oliver","LAD","0.1","1009779"
"1965","Ken Rowe","BAL","0.1","1011256"
"1981","Alan Knicely","HOU","0.4","1007035"
"2008","Hector Luna","TOR","0.0","1874"
"2008","Charlie Haeger","SDP","0.1","3545"
"2008","Matt Tupman","KCR","0.1","4381"
"2008","Bobby Korecky","MIN","0.1","4608"
"2008","Tim Dillard","MIL","0.1","5518"
"2008","Tyler Clippard","WSN","0.1","5640"
"2008","Jeff Fiorentino","OAK","0.0","8024"
"2007","Matt Wise","MIL","0.1","42"
"2007","Brandon Duckworth","KCR","0.1","954"
"2007","Tim Harikkala","COL","0.1","1909"
"2007","Matt Capps","PIT","0.1","4788"
"1964","Paul Popovich","CHC","0.1","1010440"
"1964","Freddie Burdette","CHC","0.1","1001661"
"1964","Dave Gray","BOS","0.1","1004966"
"1964","Willard Hunter","NYM","0.2","1006207"
"2010","Bruce Chen","KCR","0.1","769"
"2010","Shawn Camp","TOR","0.1","1855"
"2010","Denny Bautista","SFG","0.1","1947"
"2010","Taylor Buchholz","- - -","0.1","2168"
"2010","Clay Buchholz","BOS","0.1","3543"
"2010","Evan Meek","PIT","0.1","5109"
"2010","Alexi Ogando","TEX","0.1","10261"
"2009","Danys Baez","BAL","0.1","367"
"2009","Edgar Gonzalez","OAK","0.1","1727"
"2009","Osiris Matos","SFG","0.1","4100"
"2009","Dave Davidson","FLA","0.1","4929"
"2009","Carlos Corporan","MIL","0.0","5587"
"1987","Jay Baller","CHC","0.1","1000492"
"1987","Onix Concepcion","PIT","0.0","1002495"
"1999","Dwight Gooden","CLE","0.2","1004852"
"2001","Gene Stechschulte","STL","0.2","1184"
"2002","Grant Roberts","NYM","0.1","894"
"2002","Felix Rodriguez","SFG","0.1","1127"
"2002","Chris Carpenter","TOR","0.1","1292"
"2014","Buddy Carlyle","NYM","0.1","2010"
"2014","Brian Schlitter","CHC","0.1","3599"
"2014","Jeanmar Gomez","PIT","0.1","9033"
"2014","Gus Schlosser","ATL","0.1","12321"
"1966","Don Lee","HOU","0.1","1007453"
"1966","Dom Zanni","CIN","0.1","1014417"
"1966","Cecil Upshaw","ATL","0.1","1013292"
"2003","Braden Looper","FLA","0.1","526"
"2003","Chris George","KCR","0.2","601"
"2003","Chris Latham","NYY","0.1","882"
"2003","J.R. House","PIT","0.0","992"
"2003","Troy Brohawn","LAD","0.1","1110"
"2003","Felix Rodriguez","SFG","0.1","1127"
"2003","Esteban Yan","- - -","0.1","1236"
"2003","R.A. Dickey","TEX","0.1","1245"
"2003","Kevin Ohme","STL","0.1","1687"
"2003","Steve Avery","DET","0.1","1706"
"2003","Jason Roach","NYM","0.1","1740"
"2011","Jeremy Horst","CIN","0.1","596"
"2011","Bryan Augenstein","STL","0.1","936"
"2011","Josh Tomlin","CLE","0.1","9388"
"2004","Al Reyes","STL","0.1","1005"
"2005","Matt Wise","MIL","0.1","42"
"2005","Adam Bernero","ATL","0.1","460"
"2005","Cliff Politte","CHW","0.1","967"
"2005","Cliff Bartosh","CHC","0.1","1871"
"2005","Chuck James","ATL","0.1","4886"
"2000","Danny Graves","CIN","0.2","326"
"2006","Bob Howry","CHC","0.1","237"
"2006","Will Ohman","CHC","0.1","296"
"2006","Scott Linebrink","SDP","0.1","564"
"2006","Bruce Chen","BAL","0.1","769"
"2006","Javier Vazquez","CHW","0.1","801"
"2006","Travis Hughes","WSN","0.1","2045"
"1948","Dick Weik","WAS","0.2","1013734"
"2013","Zach Duke","- - -","0.1","3840"
"2001","Pat Mahomes","TEX","0.1","291"
"2001","Charles Nagy","CLE","0.1","397"
"2001","Matt Walbeck","PHI","0.0","501"
"2001","Juan Rincon","MIN","0.1","752"
"2001","Manny Aybar","CHC","0.2","1107"
"2001","Joe Davenport","COL","0.1","1003018"
"2000","Brian Lesher","SEA","0.4","1309"
"1907","Deacon McGuire","- - -","0.2","1008553"
"1938","Mickey Livingston","WAS","0.2","1007675"
"1938","Joe Vance","NYY","0.2","1013343"
"1890","Jack Lynch","BKG","0.2","1007864"
"2012","David Hernandez","ARI","0.1","4259"
"2012","Aneury Rodriguez","HOU","0.1","8948"
"1992","Henry Mercedes","OAK","0.2","1008773"
"2015","Carlos Carrasco","CLE","0.2","6632"
"2015","Carlos Torres","NYM","0.1","7624"
"2015","Mike Dunn","MIA","0.1","9948"
"2015","Donn Roach","CHC","0.1","10620"
"2015","Keith Hessler","ARI","0.1","12220"
"2018","Vidal Nuno","TBR","0.1","9674"
"2018","Kyle Gibson","MIN","0.1","10123"
"2018","Derek Law","SFG","0.1","13133"
"2018","Chad Sobotka","ATL","0.1","17470"
"2018","Kolby Allard","ATL","0.2","18694"
"2016","Tommy Milone","MIN","0.1","7608"
"2016","Cory Gearrin","SFG","0.1","7947"
"2016","Jose Berrios","MIN","0.1","14168"
"2016","Cody Ege","- - -","0.1","15928"
"1923","Fred Schemanske","WAS","0.2","1011546"
"1898","Pete McBride","CLE","0.2","1008345"
"2017","David Price","BOS","0.1","3184"
"2017","Derek Holland","CHW","0.1","4141"
"2017","Andrew Albers","SEA","0.2","7853"
"2017","Jose Torres","SDP","0.1","14957"
"1942","Chet Kehn","BRO","0.2","1006761"
"1935","Aubrey Epps","PIT","0.2","1003798"
"2019","Will Smith","SFG","0.1","8048"
"2019","Oliver Drake","TBR","0.1","8823"
"2019","Ruben Alaniz","- - -","0.1","10819"
"2019","Seth Lugo","NYM","0.1","12447"
"2019","John Brebbia","STL","0.1","12777"
"2019","Gregory Soto","DET","0.1","19677"
"1889","Sparrow McCaffrey","COL","0.1","1008354"
"1899","Lefty Herring","WAS","0.1","1005729"
"1992","Chuck McElroy","CHC","0.3","1008477"
"1927","Wayland Dean","PHI","0.1","1003112"
"1951","Hal Brown","CHW","0.2","1001520"
"1908","Henry Gehring","WAS","0.3","1004597"
"1923","Johnson Fry","CLE","0.1","1004380"
"1928","Jumbo Brown","CLE","0.1","1001533"
"1993","Mike Jackson","SFG","0.2","732"
"1985","Pat Keedy","CAL","0.1","1006738"
"1915","Pete Sims","SLB","0.1","1012002"
"1967","Mike Adamson","BAL","0.1","1000058"
"1967","Hank Aguirre","DET","0.1","1000087"
"1981","Mike Gates","MON","0.1","1004572"
"1922","John Mohardt","DET","0.0","1009031"
"1942","George Susce","CLE","0.1","1012730"
"1948","Tom Wright","BOS","0.1","1014297"
"1915","George Boehler","DET","0.2","1001114"
"1951","Bob Thorpe","BSN","0.1","1013042"
"1969","John Morris","SEA","0.1","1009219"
"1954","Jim Dyck","CLE","0.1","1003611"
"1914","Jack Roche","STL","0.5","1011088"
"2008","Chris Snelling","PHI","0.2","1480"
"1982","John Rabb","SFG","0.0","1010625"
"1975","Jim Essian","PHI","0.2","1003835"
"1987","Brett Gideon","PIT","0.1","1004677"
"2007","Wladimir Balentien","SEA","0.1","3131"
"1923","Tige Stone","STL","0.0","1012574"
"1963","John Paciorek","HOU","0.2","1009937"
"1944","Babe Martin","SLB","0.2","1008152"
"2000","Keith McDonald","STL","0.3","1008467"
"1922","Clint Blume","NYG","0.1","1001097"
"1970","Bo Belinsky","CIN","0.1","1000791"
"1954","Joe Ginsberg","CLE","0.1","1004742"
"2007","Jeremy Sowers","CLE","0.1","9083"
"1995","Bryan Hickerson","- - -","0.3","1005767"
"2009","Bruce Chen","KCR","0.1","769"
"2010","Kenley Jansen","LAD","0.1","3096"
"2001","Wayne Gomes","PHI","0.1","191"
"1998","Armando Rios","SFG","0.5","1006"
"1968","Bill Connors","NYM","0.2","1002522"
"2011","Sean Burnett","WSN","0.1","1886"
"1963","Billy Hoeft","SFG","0.2","1005893"
"1895","Jack Cronin","BRO","0.1","1002794"
"1940","Carl Miles","PHA","0.2","1008860"
"1987","Darrin Jackson","CHC","0.2","1006296"
"2003","Jason Isringhausen","STL","0.1","1158"
"1911","Charlie Faust","NYG","0.1","1003960"
"1912","Harvey Grubb","CLE","0.0","1005102"
"2014","Carlos Rivero","BOS","0.2","1136"
"2017","Aaron Blair","ATL","0.1","14934"
"1992","Hensley Meulens","NYY","0.2","1008816"
"2018","Randy Rosario","CHC","0.1","14508"
"1982","Buddy Biancalana","KCR","0.2","1000942"
"1999","James Baldwin","CHW","0.1","1064"
"2019","Francisco Liriano","PIT","0.1","3201"
"2019","John Means","BAL","0.2","16269"
"1980","Donnie Moore","STL","0.3","1009102"
"1968","Bill Virdon","PIT","0.1","1013437"
"1943","Bob Malloy","CIN","0.1","1008026"
"1924","Chick Autry","NYY","0.0","1000377"
"1910","Ray Jansen","SLB","0.1","1006359"
"1945","Ray Starr","- - -","0.1","1012435"
"1934","Hal Finney","PIT","0.0","1004058"
"1934","Cy Malis","PHI","0.0","1008019"
"1903","Tad Quinn","PHA","0.1","1010611"
"1907","Ham Wade","NYG","0.0","1013471"
"2016","Chris Parmelee","NYY","0.3","2554"
"1902","John Murphy","STL","0.1","1009367"
"1941","Ray Lamanno","CIN","0.0","1007270"
"1941","Wes Ferrell","BSN","0.2","1004010"
"1946","Johnny Gorsica","DET","0.1","1004890"
"1996","Brian Banks","MIL","0.2","1589"
"1892","","STL","0.0","1007529"
"1892","Will Thompson","PIT","0.0","1013031"
"1942","Tot Pressnell","CHC","0.2","1010524"
"2005","Esteban German","TEX","0.1","1449"
"1931","Jim Brillheart","BOS","0.2","1001434"
"2011","Zack Britton","BAL","0.4","3240"
"1911","Ernie Ovitz","CHC","0.0","1009913"
"1912","Earl Blackburn","CIN","0.0","1001011"
"1912","Casey Hageman","BOS","0.0","1005196"
"1912","Alex Remneas","DET","0.0","1010826"
"1912","Huck Wallace","PHI","0.0","1013547"
"1927","Paul Hopkins","WAS","0.1","1006018"
"2000","Brad Clontz","PIT","0.0","1002360"
"1901","Farmer Burns","STL","0.1","1001707"
"1955","Fred Van Dusen","PHI","0.0","1013351"
"1923","Slim Embrey","CHW","0.0","1003764"
"1995","Eric Gunderson","NYM","0.0","1005144"
"1998","Milt Cuyler","TEX","0.2","1002915"
"1921","Tex Jeanes","CLE","0.1","1006375"
"1927","Eddie Dyer","STL","0.0","1003614"
"1927","Clyde Manion","DET","0.0","1008059"
"1926","Honey Barnes","NYY","0.0","1000565"
"1937","Jerry Lynn","WAS","0.1","1007873"
"1935","Phil Hensiek","WAS","0.1","1005679"
"2000","Damon Minor","SFG","0.4","1411"
"1938","Tom Baker","NYG","0.0","1000468"
"1938","Johnny Niggeling","BSN","0.0","1009596"
"1937","Nate Andrews","STL","0.0","1000259"
"1937","Fred Archer","PHA","0.0","1000289"
"1992","Stan Belinda","PIT","0.1","1000792"
"1967","Ed Herrmann","CHW","0.3","1005732"
"1950","Dave Madison","NYY","0.0","1007954"
"1931","Nick Altrock","WAS","0.0","1000191"
"2006","Ryan Klesko","SDP","0.2","1041"
"1910","Bill Forman","WAS","0.0","1004231"
"1910","Charlie Pickett","STL","0.0","1010311"
"1929","Fred Stiely","SLB","0.1","1012533"
"1903","Pat Deisel","CIN","0.0","1003147"
"1903","Fred Holmes","NYH","0.0","1005978"
"1903","Ed Hug","BRO","0.0","1006147"
"1932","Jim Winford","STL","0.1","1014128"
"1920","Earl Pruess","SLB","0.1","1010550"
"2006","John Rheinecker","TEX","0.0","2165"
"1982","Jay Baller","PHI","0.0","1000492"
"1945","Ernie Rudolph","BRO","0.1","1011287"
"1945","Paul Waner","NYY","0.0","1013597"
"2003","Tim Wakefield","BOS","0.0","219"
"1941","Bob Logan","CIN","0.0","1007704"
"1941","Hersh Lyons","STL","0.1","1007884"
"1958","Glenn Cox","KCA","0.0","1002701"
"1955","Marv Throneberry","NYY","0.1","1013047"
"1973","Barry Foote","MON","0.2","1004210"
"1914","Dutch Schirick","SLB","0.1","1011564"
"1914","Jack Snyder","BUF","0.0","1012248"
"1947","Tommy Byrne","NYY","0.0","1001801"
"1947","Lou Possehl","PHI","0.0","1010465"
"1918","Joe Cobb","DET","0.0","1002377"
"2005","Adam Greenberg","CHC","0.0","4647"
"1932","Dusty Cooke","NYY","0.0","1002568"
"1932","Jim McLeod","WAS","0.0","1008624"
"1951","Eddie Gaedel","SLB","0.0","1004421"
"1963","Alan Koch","DET","0.1","1007068"
"1942","Tal Abernathy","PHA","0.0","1000019"
"1944","Len Schulte","SLB","0.0","1011642"
